user,variable1,variable2
mincegaiters,-82.4675,49.413889
sociablelemma,-88.909721,50.290279
gnarledbaggy,-68.208056,48.608612
gogglesknacker,-79.630556,43.677223
snowdonevasive,-79.465556,43.7425
cleaningburnt,-82.567778,45.885277
hoovessquares,-114.440278,62.462778
binomialapathetic,-114.777222,55.293056
flinkjordan,-131.813833,53.254333
tyrespan,-82.308889,42.999444
moderatohorn,-127.366667,50.680556
allegatorwafers,-115.786667,54.14389
europiumcentury,-66.265556,50.223333
bluetailgodwottery,-132.742778,60.172779
quadratcranky,-64.916944,44.984444
simplicityfairy,-133.375833,62.2075
wordsundress,-134.860556,67.4075
feverspolystyrene,2.814167,36.503613
batchquickest,4.206389,35.3325
alloweruptions,5.069922,36.711997
alloweruptions,3.215408,36.691014
mtvgrosbeak,9.452444,24.292767
snowdonevasive,2.876111,36.545834
compareas,0.285647,26.710103
fattyoddball,8.622653,26.723536
sectionssqueaky,2.878714,35.525414
fattyoddball,5.451075,22.811461
fattyoddball,5.873608,36.795136
guavaconfide,-0.242353,33.535853
maintainwiggly,0.626272,35.752239
tyrespan,7.809167,36.822225
behaviourverbena,6.620386,36.276028
meggingswine,8.120717,35.431611
elatedunicorn,3.311542,32.930431
ytterbiumprovincial,1.463147,35.341136
clucklinnet,-0.805389,35.735389
tweezerscurve,-8.167103,27.700372
gaudyfea,1.331775,36.212658
freelysociable,-0.532278,35.542444
canalhateful,-1.45,35.016667
tubingwheatear,-0.621183,35.623858
surmiseteenagers,-0.593275,35.171775
fattyoddball,0.147142,35.207725
deficientclunking,-0.186414,27.837589
spiritedjump,5.738231,34.793289
fattyoddball,2.859586,30.571294
belchedsodding,3.794114,32.384106
gammagot,6.140444,31.672972
neighborlyrook,2.512017,27.251022
completionskylark,6.088672,33.067803
babyambitious,2.928344,33.764383
deficientclunking,0.276033,29.237119
trapdoormongrel,5.412778,31.917223
singesculptor,9.642911,28.05155
rigelpaunchy,2.384353,6.357228
canalhateful,-1.512417,12.353194
completionskylark,-4.330969,11.160056
dweebspices,-0.166786,5.605186
trapdoormongrel,-0.863214,9.557192
microwavejar,-2.507694,10.082664
mincegaiters,-2.328756,7.361828
trapdoormongrel,-1.774756,4.896056
gogglesknacker,-3.926294,5.261386
backedammeter,-5.073667,7.7388
epsiloncloning,-6.473189,6.792808
copalinstruct,-5.556664,9.387183
amuckpoints,-7.587364,7.272069
trapdoormongrel,-6.660817,4.746717
risottospell,-5.365581,6.903167
dialgraft,7.263172,9.006792
axlevirtue,5.301008,7.246739
cleaningburnt,5.599503,6.316981
listenerabandoned,8.347197,4.976019
pipeathlete,7.561961,6.474272
gogglesknacker,6.696111,12.171667
hoovessquares,3.978333,7.362458
replacedbevy,4.493919,8.440211
snowdonevasive,8.86905,9.639828
ashamedmuscles,7.320114,10.696025
musicalchampagne,8.524622,12.047589
cowardlyabout,13.08095,11.855347
hoovessquares,8.613939,7.703883
stairsgobsmacked,3.321156,6.577369
eminentallergy,6.462256,9.652172
eontop,6.949594,5.015494
twitequiver,5.207189,12.916322
binomialapathetic,12.430422,9.257553
horsesmultiply,7.685806,11.130192
simplicityfairy,7.126753,13.502531
peacefulceaseless,2.183614,13.481547
singesculptor,5.265358,14.875658
bunchmeats,8.000114,16.965997
meggingswine,12.86865,18.968703
heomicron,12.626686,13.372894
farrowcetti,8.983761,13.778997
fizzlehelp,10.754722,35.758056
bonelliseal,10.227217,36.851033
ashamedmuscles,9.791453,37.245447
deficientclunking,10.382108,32.306156
neighborlyrook,8.822503,34.422022
turnoverlovesick,10.103333,33.876919
popmatrices,9.943147,36.721339
stairsgobsmacked,10.775461,33.875031
ellipticalfabricator,9.254619,31.704281
gnarledbaggy,10.690972,34.717953
sectionssqueaky,8.110556,33.939722
gilletteclammy,1.09125,9.767333
analbar,1.254511,6.165611
raggedshrink,4.460278,51.189444
grabbig,4.768333,50.75861
unbalancedprotoplanet,5.47,51.168333
singesculptor,4.484444,50.901389
bismuthcolloquial,5.223889,49.891667
worldlyventuri,4.453817,50.459197
guavaconfide,3.831,50.575833
chiselleddessicants,2.652778,51.090278
trapdoormongrel,4.645833,50.243333
ceilinjuries,3.204722,50.817222
rappelarias,5.443222,50.637417
gnarledbaggy,2.862222,51.198889
sectionssqueaky,5.590556,50.9475
europiumcentury,5.201667,50.791944
gammagot,5.404167,50.035833
dotwazzack,3.474361,51.144133
radicandoceanic,4.960194,51.394783
fixnumquicklime,4.753333,51.264722
opticsdiameter,14.519747,51.193531
nursingrash,12.506361,50.981817
fixnumquicklime,12.184033,51.831828
synonympatisserie,14.585667,52.197333
applyingbaker,-86.8138056,39.6335556
chiselleddessicants,13.554973,51.308111
freelysociable,11.940833,51.363
ashamedmuscles,12.052667,51.552
bashrower,13.356,51.2935
handywrist,12.753139,53.306417
emeraldclippers,13.915683,52.579978
europiumcentury,13.158408,52.203258
fizzclimbing,12.699705,54.33754
rappelarias,11.714519,50.915161
hoovessquares,12.425333,52.918833
tyrespan,11.626467,52.073658
swankythough,14.95,51.363167
axlevirtue,13.669131,53.8327
looroasting,14.531986,51.889475
upbeatodd,14.129,51.29625
gilletteclammy,13.5225,52.380001
ellipticalfabricator,13.767161,51.132767
lasttaiga,10.958106,50.979811
musicalchampagne,8.543125,50.026421
buoyancycowardice,7.684831,52.134642
fixnumquicklime,9.988228,53.630389
hoovessquares,13.403944,52.473025
handywrist,7.142744,50.865917
rappelarias,6.766775,51.289453
producecoven,11.786086,48.353783
colonclipper,11.066897,49.4987
cheapersyllable,12.241633,51.432447
unbalancedprotoplanet,7.109508,49.214553
unicyclistamiable,9.221964,48.689878
clucklinnet,13.287711,52.559686
simplicityfairy,9.685078,52.461056
applyingbaker,8.786667,53.0475
synonympatisserie,8.6415,49.960833
casesslippery,7.263892,49.948672
pancakesgrebe,8.514264,49.472706
driftmvc,8.680839,51.034878
blythpulse,8.3684,49.606511
unguardedgiant,8.148336,49.968931
bashrower,10.472711,50.992797
opticsdiameter,8.082969,50.707658
unbalancedprotoplanet,9.837025,53.535886
bismuthcolloquial,10.145167,54.3795
unicyclistamiable,10.719222,53.805367
ischemicfrosted,6.528083,50.405888
feverspolystyrene,7.601944,51.099445
copalinstruct,7.899333,51.483333
ellipticalfabricator,6.937333,51.402333
axlevirtue,8.544833,51.964833
swankythough,6.504494,51.230356
sectionssqueaky,8.616317,51.614089
moderatohorn,6.840667,51.995844
synonympatisserie,7.612242,51.518314
bracesworkable,10.931764,48.425158
cranesurgeon,9.762833,48.111
stylishmugs,12.723667,48.396167
translatecyclist,10.524333,48.108833
gruntdrive,11.283067,48.081364
wisefumbling,12.518186,48.90095
troubledseptum,13.195667,48.635167
bismuthcolloquial,10.014572,47.859117
hoovessquares,9.511486,47.671317
flakyunlawful,11.783436,53.426997
apronextension,11.818333,52.627778
neighborlyrook,10.264667,48.777833
advisorlanguage,11.638569,49.984428
dotwazzack,11.133167,49.793833
organicmajor,11.854919,50.288836
craytugofwar,10.5295,50.018
chichazard,7.528667,50.3255
gammagot,6.788167,49.8635
badgefields,8.451195,49.302776
sociablelemma,7.400647,49.209525
disjointtoday,8.522223,47.973331
quadratcranky,7.832583,48.022653
singesculptor,9.372833,48.053833
xslhopeful,9.783956,49.118317
eontop,13.738,51.6075
cobolglaucous,10.556111,52.319167
guavaconfide,9.377631,51.408394
ischemicfrosted,9.945667,52.179833
guavaconfide,8.572878,53.507081
buoyancycowardice,7.227408,53.391186
shrillbanjos,7.442344,53.271592
ledgeindeed,8.053333,53.504833
advisorlanguage,6.709167,53.5955
handywrist,7.230247,53.706822
allocatesposts,9.378214,54.771772
barnevidence,9.600803,54.220928
actuallyfoot,8.340472,54.91325
ischemicfrosted,24.208467,59.260286
tubingwheatear,22.830733,58.990756
europiumcentury,22.509494,58.229883
somethingalbedo,24.472819,58.419044
easybobolink,24.832844,59.413317
turnoverlovesick,26.690428,58.307461
advisorlanguage,23.424322,68.362586
stylishmugs,22.201389,61.116112
flickcanapes,24.7866,61.85605
stunassured,25.042828,60.254558
freelysociable,24.963333,60.317222
surmiseteenagers,23.073744,61.689656
pancakesgrebe,23.083583,59.848864
rigelpaunchy,24.881111,60.654444
sociablelemma,23.6525,60.462502
ytterbiumprovincial,28.903711,61.249172
sortinterior,30.073611,62.166111
producecoven,27.405328,68.607269
deficientclunking,29.60755,62.662906
looroasting,25.678253,62.399453
simplicityfairy,23.051442,63.127078
worldlyventuri,24.5991,65.781889
figsql,27.692414,64.285472
poundingfrustum,22.393055,62.462502
freelysociable,23.143131,63.721172
agenascientists,27.156786,66.712883
organicmajor,29.239381,65.987575
hoovessquares,24.84685,67.701022
smackswallow,27.797756,63.00715
musicalchampagne,25.693508,61.144158
paddlevacuole,28.144397,61.044553
troubledseptum,19.898156,60.122203
meatsoffbeat,23.518889,62.946667
upbeatodd,27.201794,61.6866
realtorcaustic,24.296389,60.333889
cartridgesbummage,25.354564,64.930061
wisefumbling,22.193356,61.245558
meggingswine,21.799983,61.461686
sectionssqueaky,26.946944,65.402222
ceilinjuries,25.926306,63.731917
latticelaboratory,24.695833,64.688056
grabbig,28.356494,62.065481
figsql,25.830411,66.564822
upbeatodd,24.107778,60.744722
buoyancycowardice,28.945136,61.943064
hoursethanoate,26.798861,61.062389
neckedjre,26.619133,67.395033
mtvgrosbeak,23.604392,61.414147
parallelconcerned,24.027006,61.77335
latticelaboratory,22.262808,60.514142
eontop,26.938353,60.896394
poundingfrustum,21.762175,63.05065
dampedbrioche,27.868611,62.171111
looroasting,24.715953,64.060547
rappelarias,-6.215833,54.6575
badgefields,-7.651667,54.398889
clucklinnet,-5.8725,54.618056
frequencywould,-7.161111,55.042778
listenerabandoned,-1.748028,52.453856
carrionscream,-1.479722,52.369722
rubbishbladder,-1.031944,52.607778
unguardedgiant,-2.167222,51.894167
worldlyventuri,-2.259444,52.5175
meatsoffbeat,-2.056944,51.668056
smackswallow,-1.095556,52.040833
poundingfrustum,-1.614444,52.192222
canalhateful,-2.27495,53.353744
craytugofwar,-2.148889,53.338056
binomialapathetic,-4.150339,51.087167
eontop,-4.995408,50.440558
lasttaiga,-1.993428,51.505144
metaiota,-1.747414,51.152189
apronextension,-5.255711,50.086092
bonelliseal,-3.43575,51.404811
risottospell,-2.638819,51.009358
dialgraft,-4.961111,51.833056
strungebay,-3.343333,51.396667
upbeatodd,-4.067833,51.605333
metaiota,-2.719089,51.382669
wordsundress,-2.849722,53.333611
moderatohorn,-0.368333,51.874722
rappelarias,-4.105833,50.422778
historypant,-1.8425,50.78
historypant,-1.356803,50.950261
organicmajor,-1.0335,51.187167
alloweruptions,-2.214722,49.706111
applyingbaker,-2.601969,49.434956
frequencywould,-2.195508,49.207947
raggedshrink,-0.297222,50.835556
somethingalbedo,0.0325,51.330833
applyingbaker,-0.190278,51.148056
chiselleddessicants,0.055278,51.505278
behaviourverbena,-0.776333,51.275833
decanterbalance,-1.080833,51.676111
heaterinert,-0.8475,51.323889
troubledseptum,-0.461389,51.4775
burntrifle,0.695556,51.571389
blythpulse,0.939167,50.956111
heaterinert,1.346111,51.342222
dotwazzack,-0.566333,53.719667
lymphomamellow,-2.809167,54.9375
crepegrape,-0.951389,53.280556
replacedbevy,-3.028611,53.771667
realtorcaustic,-0.350833,53.574444
sectionssqueaky,-3.263667,54.131167
langeredsubset,-1.660569,53.865897
feverspolystyrene,-2.883061,53.745097
europiumcentury,-2.977778,53.178056
backedammeter,-4.623889,54.083333
axlevirtue,-1.691667,55.0375
quadratcranky,-1.429406,54.509189
expecteffective,-1.328056,52.831111
mtvgrosbeak,-4.123575,52.811744
latticelaboratory,-2.533561,52.871164
advisorlanguage,-2.668042,52.798169
poohvireo,-3.055522,53.581575
wonderfulscullian,-2.905,58.957778
craytugofwar,-1.295556,59.878889
flakyunlawful,-3.093056,58.458889
emeraldclippers,-2.197778,57.201944
tubingwheatear,-4.0475,57.5425
compareas,-4.433056,55.871944
risottospell,-3.3725,55.95
troubledseptum,-6.256667,55.681944
translatecyclist,-4.586667,55.509444
moderatohorn,-7.362778,57.481111
handywrist,-1.296111,60.432778
sociablelemma,-3.025833,56.452499
loindecorate,-6.331111,58.215556
producecoven,-6.869167,56.499167
organicmajor,-2.868444,56.372889
eontop,-3.339169,57.705214
batchquickest,0.175,52.205
eontop,-0.251111,52.468056
batchquickest,1.282778,52.675833
tweezerscurve,0.235,51.885
globeshameful,0.154167,51.721667
moderatohorn,-1.388486,53.394256
cranniescigarette,-0.616667,52.072222
meatsoffbeat,-3.413889,50.734444
ceilinjuries,-2.590833,51.519444
trapdoormongrel,-1.32,51.836944
ledgeindeed,-1.095833,51.616389
microwavejar,0.561,52.409333
singesculptor,0.486406,52.361933
looroasting,0.956264,52.127283
metaiota,-0.107833,52.357167
fizzlehelp,-1.790028,51.682167
replacedbevy,-1.583617,51.749964
gnarledbaggy,-0.942825,51.234139
allegatorwafers,-2.305578,52.640028
dweebspices,-0.418167,51.553
hoovessquares,-0.166014,53.093014
flickcanapes,-1.420253,54.137186
simplicityfairy,-1.5354,54.292383
allocatesposts,-1.1955,53.834333
chichazard,0.772939,52.342611
binomialapathetic,-0.648769,52.735711
stylishmugs,-0.550833,53.307778
dampedbrioche,-0.476453,52.612558
troubledseptum,-1.252747,54.048911
rubbishbladder,-0.523811,53.166167
flinkjordan,-1.382094,54.205522
mincegaiters,-0.483242,53.03035
impetuousfurbelows,-0.561625,52.962225
historypant,0.550692,52.648353
dialgraft,-58.447222,-51.822777
opticsdiameter,4.763889,52.308613
pipeathlete,5.601389,51.25528
globeshameful,5.770144,50.911658
cartridgesbummage,5.873056,52.060556
smackswallow,6.129722,53.119167
bashrower,5.374528,51.450139
upbeatodd,6.579444,53.11972
fizzlehelp,4.931833,51.567389
sociablelemma,4.780625,52.923353
cobolglaucous,5.527222,52.460278
meatsoffbeat,5.760556,53.228611
tyrespan,4.437222,51.956944
expecteffective,5.27619,52.1273
lasttaiga,6.874167,52.27
handywrist,4.417944,52.166139
raggedshrink,4.342031,51.449092
fizzlehelp,-8.491111,51.841269
compareas,-8.941592,53.300175
meatsoffbeat,-6.270075,53.421333
upbeatodd,-8.818492,53.910297
replacedbevy,-9.523783,52.180878
gravelscientific,-6.451333,53.301667
chichazard,-8.924817,52.701978
barnevidence,-8.599206,54.280214
neckedjre,-7.086964,52.1872
privacyhaunt,10.619008,56.300017
popmatrices,9.151778,55.740322
troubledseptum,12.655972,55.617917
mtvgrosbeak,8.553403,55.525942
crepegrape,12.382222,55.941387
decanterbalance,9.124628,56.297458
risottospell,11.000083,57.277228
eontop,11.440117,54.699344
strungebay,10.330933,55.476664
unbalancedprotoplanet,9.279014,54.870306
raggedshrink,12.131428,55.585567
burritoscarriage,14.759558,55.063267
showerspain,9.791731,54.964367
dampedbrioche,9.263931,55.225553
bracesworkable,9.172983,56.550208
ashamedmuscles,8.705225,57.0688
parallelconcerned,9.330925,55.436283
heomicron,-7.277219,62.063628
gaudyfea,9.458611,56.846944
producecoven,8.353906,55.990122
replacedbevy,9.849164,57.092789
allegatorwafers,6.211517,49.626575
planktonuses,6.110164,62.560372
swankythough,16.144167,69.2925
horsesmultiply,23.371667,69.976111
phobosstaccato,6.501497,60.63885
gilletteclammy,12.2175,65.461111
dampedbrioche,14.365278,67.269167
pipeathlete,5.218142,60.293386
babyambitious,29.6925,70.600278
ceilinjuries,8.085369,58.204214
mincegaiters,8.512778,60.416667
binomialapathetic,18.540356,69.055758
sociablelemma,16.678108,68.4913
upbeatodd,9.288056,61.015556
colonclipper,5.024722,61.583611
unbalancedprotoplanet,11.100361,60.193917
amuckpoints,5.208364,59.345267
moderatohorn,22.139744,70.486675
planktonuses,7.824522,63.111781
mtvgrosbeak,11.036089,59.969336
musicalchampagne,29.891295,69.725781
impetuousfurbelows,6.62605,58.099486
cuboidpass,7.2625,62.744722
gilletteclammy,13.214914,65.783997
burntrifle,24.973489,70.068814
gruntdrive,9.212222,59.565683
badgefields,9.604003,63.698908
realtorcaustic,11.342347,62.578411
realtorcaustic,10.785389,59.378933
dotwazzack,15.465556,78.246111
bunchmeats,9.566944,59.185
smackswallow,5.34085,59.791925
advisorlanguage,12.468944,65.956828
flinkjordan,18.918919,69.683333
fixnumquicklime,10.258628,59.186703
coatprecious,10.92425,63.457556
colonclipper,5.637856,58.876778
fizzlehelp,20.911047,52.268494
chichazard,18.466222,54.377569
allocatesposts,19.784836,50.077731
earmarinated,19.034181,50.238147
guavaconfide,19.080019,50.474253
badgefields,21.462131,50.322275
barnevidence,16.826325,52.421031
compareas,22.019,50.109958
fixnumquicklime,14.902206,53.584731
simplicityfairy,17.1075,54.478889
phobosstaccato,15.82625,53.790639
feverspolystyrene,20.967122,52.16575
europiumcentury,16.885836,51.102683
risottospell,15.798556,52.138517
babyambitious,15.525683,58.402278
duexslt,16.103592,58.610867
lasttaiga,17.588581,59.897328
alloweruptions,15.265,56.266667
popmatrices,13.053231,58.498136
tendonwench,12.279819,57.662836
hypergalaxyfibula,14.068731,57.757594
ledgeindeed,13.587847,58.169794
burntrifle,13.174414,58.465522
peacefulceaseless,11.870372,57.774722
binomialapathetic,13.972672,58.4564
geologybeeping,12.345,58.318056
organicmajor,14.507119,58.513842
peacefulceaseless,12.714389,58.426445
deficientclunking,17.890694,59.418694
paddlevacuole,14.495922,59.345867
handywrist,14.511383,60.957908
xslhopeful,16.912189,58.788636
fizzlehelp,12.639442,59.675856
eminentallergy,15.604761,56.610761
bunchmeats,13.921667,56.950278
ashamedmuscles,14.085536,55.921686
simplicityfairy,12.869444,55.944444
singesculptor,16.497972,57.350453
earmarinated,13.599439,57.264167
meatsoffbeat,16.287578,56.685531
pipetsrockers,13.371639,55.530193
applyingbaker,12.820211,56.691128
gnarledbaggy,14.137222,57.292222
heaterinert,14.727994,56.929144
emeraldclippers,15.458333,63.738333
gaudyfea,13.747222,62.408889
farrowcetti,14.42295,62.047811
gammagot,20.814636,67.132408
allocatesposts,17.080719,61.768092
rubbishbladder,20.147181,66.496236
gogglesknacker,17.768856,63.048597
axlevirtue,18.716219,64.548322
flinkjordan,14.802778,63.128611
bismuthcolloquial,17.443928,62.528125
wisefumbling,18.990039,63.408339
ceilinjuries,21.260833,65.398333
worldlyventuri,20.336764,67.821986
ashamedmuscles,14.712567,61.190033
cranesurgeon,21.076892,64.624772
bluetailgodwottery,17.002917,62.481369
unbalancedprotoplanet,20.282758,63.791828
pipeathlete,16.833575,64.579083
mincegaiters,19.281944,65.590278
rigelpaunchy,15.037956,59.223733
synonympatisserie,16.633611,59.589444
analbar,22.121989,65.543758
tubingwheatear,20.149917,65.875325
actuallyfoot,15.924055,59.386585
meggingswine,17.918611,59.651944
sociablelemma,17.94165,59.354372
cobolglaucous,15.515211,60.422017
ashamedmuscles,15.823333,57.525833
dweebspices,16.951389,60.593333
poundingfrustum,15.680508,58.40615
batchquickest,16.250622,58.586253
peacefulceaseless,16.7084,59.351078
dronessomersault,18.346211,57.662797
swankythough,20.257228,67.764789
tendonwench,6.6925,49.972667
dialgraft,7.600283,49.436911
fattyoddball,10.914233,49.920433
batchquickest,9.966494,49.648131
coatprecious,9.082167,52.2785
apronextension,10.022133,52.5912
mincegaiters,7.387,52.291167
radicandoceanic,9.285833,51.1145
flickcanapes,9.910019,48.220297
burntrifle,7.315333,50.366
disjointtoday,9.958167,49.391833
troubledseptum,11.100167,49.2175
tyrespan,10.197528,52.919406
tendonwench,11.940175,49.698686
hypergalaxyfibula,8.961586,50.169189
metaiota,11.836111,49.218056
smackswallow,10.200556,49.743057
stairsgobsmacked,8.6585,53.767667
twitequiver,8.341014,52.585514
neighborlyrook,6.042422,50.960817
burntrifle,9.538167,54.312167
feverspolystyrene,7.888667,53.5335
micaassistant,12.278333,53.918167
cobolglaucous,6.658167,50.831167
ledgeindeed,9.516333,54.459333
impetuousfurbelows,7.667333,53.547833
belchedsodding,13.306,53.602167
radicandoceanic,9.427167,52.457333
bunchmeats,11.767222,49.63361
replacedbevy,8.463392,49.563569
freelysociable,8.325397,50.049819
bunchmeats,10.906,48.0705
surmiseteenagers,7.063333,50.173833
latticelaboratory,11.948667,48.322333
gammagot,11.267,48.205667
poohvireo,13.167667,51.767833
popmatrices,11.534,48.715667
rappelarias,10.861167,48.1855
turnoverlovesick,11.2115,48.711
langeredsubset,8.306333,51.922833
wonderfulscullian,16.533333,-28.575001
snaildossier,18.813869,-29.281767
craytugofwar,28.301769,-26.23865
ashamedmuscles,27.279111,-32.89715
eminentallergy,26.302444,-29.092722
fattyoddball,28.336125,-28.248392
translatecyclist,26.629194,-27.366769
lasttaiga,18.601667,-33.964806
europiumcentury,19.725897,-31.500278
handywrist,30.950519,-29.970089
mtvgrosbeak,27.825939,-33.035569
easybobolink,29.979764,-26.495644
gogglesknacker,27.9089,-28.823119
realtorcaustic,28.140061,-25.986267
neckedjre,22.378889,-34.005553
lickerbond,24.541389,-32.193611
bluetailgodwottery,26.498083,-33.284721
lickerbond,30.586706,-29.122011
barnevidence,26.861178,-28.078694
